,Date,BE,DE,FR,NP
66,2013-01-03 18:00:00,71.91,71.91,71.91,42.62
67,2013-01-03 19:00:00,77.85,77.85,77.85,42.03
68,2013-01-03 20:00:00,62.65,62.65,62.65,41.51
69,2013-01-03 21:00:00,52.44,52.44,52.44,40.87
70,2013-01-03 22:00:00,54.91,51.0,54.91,40.14
71,2013-01-03 23:00:00,50.12,39.45,50.12,39.34
72,2013-01-04 00:00:00,54.93,30.0,54.93,47.05
73,2013-01-04 01:00:00,54.94,21.11,54.94,46.69
74,2013-01-04 02:00:00,47.53,15.73,47.53,46.3
75,2013-01-04 03:00:00,47.22,17.82,47.22,46.19
76,2013-01-04 04:00:00,46.97,16.48,27.33,46.24
77,2013-01-04 05:00:00,47.27,20.25,26.52,46.98
78,2013-01-04 06:00:00,47.61,15.76,47.61,47.68
79,2013-01-04 07:00:00,48.02,27.0,48.02,48.18
80,2013-01-04 08:00:00,48.39,30.65,48.39,48.56
81,2013-01-04 09:00:00,54.26,31.39,54.26,48.83
82,2013-01-04 10:00:00,54.87,19.88,54.87,49.32
83,2013-01-04 11:00:00,54.92,14.94,54.92,48.76
84,2013-01-04 12:00:00,64.96,11.94,64.96,48.05
85,2013-01-04 13:00:00,54.71,9.14,54.71,47.0
86,2013-01-04 14:00:00,32.43,3.2,32.43,46.28
87,2013-01-04 15:00:00,19.37,6.6,19.37,45.98
88,2013-01-04 16:00:00,16.17,10.71,16.17,46.07
89,2013-01-04 17:00:00,22.43,22.43,22.43,46.88
90,2013-01-04 18:00:00,49.94,45.09,45.09,47.24
91,2013-01-04 19:00:00,54.29,48.71,48.71,48.69
92,2013-01-04 20:00:00,64.19,48.98,64.19,48.98
93,2013-01-04 21:00:00,60.0,46.74,46.74,47.93
94,2013-01-04 22:00:00,57.5,45.05,49.61,47.29
95,2013-01-04 23:00:00,55.0,37.87,55.0,46.84
96,2013-01-05 00:00:00,46.0,25.01,25.01,37.64
97,2013-01-05 01:00:00,41.53,21.84,21.84,36.12
98,2013-01-05 02:00:00,39.65,15.01,15.01,34.84
99,2013-01-05 03:00:00,40.0,12.12,12.12,34.94
100,2013-01-05 04:00:00,11.08,11.08,11.08,35.23
101,2013-01-05 05:00:00,16.7,10.89,10.89,36.93
102,2013-01-05 06:00:00,9.27,9.27,9.27,37.97
103,2013-01-05 07:00:00,10.8,10.8,10.8,39.39
104,2013-01-05 08:00:00,15.93,13.0,13.0,39.31
105,2013-01-05 09:00:00,40.0,16.07,16.07,40.35
106,2013-01-05 10:00:00,14.93,14.93,14.93,40.59
107,2013-01-05 11:00:00,13.5,13.5,13.5,39.93
108,2013-01-05 12:00:00,12.31,6.15,12.31,39.72
109,2013-01-05 13:00:00,9.54,0.1,9.54,39.75
110,2013-01-05 14:00:00,0.08,-3.61,0.08,39.61
111,2013-01-05 15:00:00,5.64,3.91,5.64,39.42
112,2013-01-05 16:00:00,5.98,5.98,5.98,39.35
113,2013-01-05 17:00:00,10.59,10.59,10.59,39.7
114,2013-01-05 18:00:00,47.0,18.36,14.49,39.92
115,2013-01-05 19:00:00,47.0,24.94,24.72,39.69
116,2013-01-05 20:00:00,46.4,28.96,26.78,39.7
117,2013-01-05 21:00:00,47.7,28.7,28.7,40.58
118,2013-01-05 22:00:00,49.94,25.03,25.03,40.5
119,2013-01-05 23:00:00,45.0,18.08,18.08,39.32
120,2013-01-06 00:00:00,53.13,33.08,16.78,34.15
121,2013-01-06 01:00:00,48.12,32.91,16.12,33.26
122,2013-01-06 02:00:00,54.93,30.06,14.81,31.05
123,2013-01-06 03:00:00,59.94,29.01,12.2,30.03
124,2013-01-06 04:00:00,55.0,26.65,11.71,27.94
125,2013-01-06 05:00:00,50.0,25.0,11.72,27.08
126,2013-01-06 06:00:00,47.44,23.03,11.77,32.55
127,2013-01-06 07:00:00,57.74,31.93,13.33,33.5
128,2013-01-06 08:00:00,50.0,37.19,15.32,36.1
129,2013-01-06 09:00:00,56.61,37.04,17.17,36.94
130,2013-01-06 10:00:00,67.93,40.03,18.21,38.03
131,2013-01-06 11:00:00,61.59,40.98,18.33,38.06
132,2013-01-06 12:00:00,59.94,36.4,18.54,36.61
133,2013-01-06 13:00:00,50.44,32.67,15.41,34.64
134,2013-01-06 14:00:00,49.96,27.02,15.42,33.39
135,2013-01-06 15:00:00,45.12,19.32,14.45,33.08
136,2013-01-06 16:00:00,45.0,19.35,11.76,33.12
137,2013-01-06 17:00:00,57.68,25.6,13.42,33.7
138,2013-01-06 18:00:00,60.0,32.02,15.16,33.63
139,2013-01-06 19:00:00,59.93,32.32,15.9,33.41
140,2013-01-06 20:00:00,58.0,28.66,15.31,33.01
141,2013-01-06 21:00:00,55.12,23.02,14.73,32.41
142,2013-01-06 22:00:00,69.96,25.51,18.91,32.45
143,2013-01-06 23:00:00,64.93,17.67,17.67,31.08
144,2013-01-07 00:00:00,21.62,21.62,21.62,29.3
145,2013-01-07 01:00:00,16.79,16.79,16.79,26.91
146,2013-01-07 02:00:00,16.85,16.85,16.85,26.38
147,2013-01-07 03:00:00,15.3,16.78,15.3,25.91
148,2013-01-07 04:00:00,12.95,18.03,12.95,25.97
149,2013-01-07 05:00:00,16.75,16.75,16.75,27.2
150,2013-01-07 06:00:00,30.57,30.57,30.57,32.13
151,2013-01-07 07:00:00,42.86,42.86,42.86,35.65
152,2013-01-07 08:00:00,41.91,41.91,41.91,35.92
153,2013-01-07 09:00:00,40.78,39.25,40.78,36.17
154,2013-01-07 10:00:00,42.96,34.66,42.96,35.57
155,2013-01-07 11:00:00,44.6,34.02,44.6,35.22
156,2013-01-07 12:00:00,45.0,29.96,45.0,34.57
157,2013-01-07 13:00:00,42.53,29.25,42.53,34.49
158,2013-01-07 14:00:00,42.9,28.35,42.9,34.0
159,2013-01-07 15:00:00,38.77,29.0,38.77,33.68
160,2013-01-07 16:00:00,34.25,30.24,34.25,33.2
161,2013-01-07 17:00:00,32.52,32.52,32.52,34.68
162,2013-01-07 18:00:00,38.15,38.15,38.15,35.28
163,2013-01-07 19:00:00,45.94,45.94,45.94,35.21
164,2013-01-07 20:00:00,45.92,45.92,45.92,34.78
165,2013-01-07 21:00:00,44.92,44.92,44.92,34.67
166,2013-01-07 22:00:00,43.9,43.9,43.9,33.82
167,2013-01-07 23:00:00,37.7,32.38,37.7,32.64
168,2013-01-08 00:00:00,34.21,34.21,34.21,34.16
169,2013-01-08 01:00:00,32.29,32.29,32.29,32.28
170,2013-01-08 02:00:00,30.07,30.07,30.07,31.52
171,2013-01-08 03:00:00,27.67,27.67,27.67,31.94
172,2013-01-08 04:00:00,22.77,27.61,22.77,32.75
173,2013-01-08 05:00:00,33.47,28.99,28.99,33.1
174,2013-01-08 06:00:00,35.44,35.44,35.44,35.58
175,2013-01-08 07:00:00,45.7,45.7,45.7,37.05
176,2013-01-08 08:00:00,46.5,46.5,46.5,37.51
177,2013-01-08 09:00:00,47.12,47.12,47.12,37.83
178,2013-01-08 10:00:00,44.1,44.1,44.1,38.2
179,2013-01-08 11:00:00,46.07,46.07,46.07,38.4
180,2013-01-08 12:00:00,42.77,42.77,42.77,38.1
181,2013-01-08 13:00:00,40.18,40.18,40.18,37.7
182,2013-01-08 14:00:00,39.11,39.11,39.11,37.54
183,2013-01-08 15:00:00,39.0,39.0,39.0,37.29
184,2013-01-08 16:00:00,40.16,40.16,40.16,37.49
185,2013-01-08 17:00:00,46.55,46.55,46.55,37.69
186,2013-01-08 18:00:00,48.98,48.98,48.98,37.66
187,2013-01-08 19:00:00,47.56,49.92,47.56,37.61
188,2013-01-08 20:00:00,42.99,42.99,42.99,37.25
189,2013-01-08 21:00:00,41.37,41.37,41.37,37.44
190,2013-01-08 22:00:00,43.95,43.95,43.95,37.31
191,2013-01-08 23:00:00,35.87,35.87,35.87,35.71
192,2013-01-09 00:00:00,29.6,29.6,29.6,31.89
193,2013-01-09 01:00:00,27.28,27.28,27.28,31.2
194,2013-01-09 02:00:00,24.06,24.06,24.06,30.63
195,2013-01-09 03:00:00,20.71,20.71,20.71,30.5
196,2013-01-09 04:00:00,18.13,23.91,18.13,30.39
197,2013-01-09 05:00:00,21.59,23.99,21.59,30.07
198,2013-01-09 06:00:00,19.36,21.59,19.36,30.69
199,2013-01-09 07:00:00,18.1,26.29,18.1,32.05
200,2013-01-09 08:00:00,19.7,29.04,19.7,32.98
201,2013-01-09 09:00:00,26.51,30.11,26.51,33.5
202,2013-01-09 10:00:00,29.8,29.8,29.8,33.88
203,2013-01-09 11:00:00,30.2,30.2,30.2,33.48
204,2013-01-09 12:00:00,26.4,26.4,26.4,33.15
205,2013-01-09 13:00:00,21.38,21.38,21.38,32.97
206,2013-01-09 14:00:00,18.49,18.49,18.49,32.7
207,2013-01-09 15:00:00,19.02,19.02,19.02,32.67
208,2013-01-09 16:00:00,19.53,19.53,19.53,32.91
209,2013-01-09 17:00:00,24.51,24.51,24.51,33.08
210,2013-01-09 18:00:00,31.06,31.06,31.06,33.32
211,2013-01-09 19:00:00,34.14,34.14,34.14,33.93
212,2013-01-09 20:00:00,42.15,40.23,40.23,34.58
213,2013-01-09 21:00:00,37.0,37.0,37.0,34.35
214,2013-01-09 22:00:00,61.42,36.31,36.31,33.91
215,2013-01-09 23:00:00,31.93,31.93,31.93,32.37
216,2013-01-10 00:00:00,43.59,35.1,43.59,37.58
217,2013-01-10 01:00:00,37.71,34.51,34.51,37.39
218,2013-01-10 02:00:00,29.88,29.88,29.88,37.28
219,2013-01-10 03:00:00,29.83,29.83,29.83,37.19
220,2013-01-10 04:00:00,29.87,29.87,29.87,37.26
221,2013-01-10 05:00:00,33.13,33.13,33.13,37.71
222,2013-01-10 06:00:00,47.45,47.45,47.45,40.63
223,2013-01-10 07:00:00,66.51,66.51,66.51,46.01
224,2013-01-10 08:00:00,67.79,67.79,67.79,47.35
225,2013-01-10 09:00:00,65.92,65.92,65.92,47.45
226,2013-01-10 10:00:00,60.5,60.5,60.5,45.83
227,2013-01-10 11:00:00,58.49,57.36,58.49,43.76
228,2013-01-10 12:00:00,52.63,45.02,52.63,41.02
229,2013-01-10 13:00:00,57.45,36.47,57.45,39.85
230,2013-01-10 14:00:00,56.28,33.19,56.28,39.86
231,2013-01-10 15:00:00,53.51,39.94,53.51,39.96
232,2013-01-10 16:00:00,54.66,44.94,54.66,40.08
233,2013-01-10 17:00:00,57.33,57.33,57.33,43.65
234,2013-01-10 18:00:00,63.31,63.31,63.31,43.8
235,2013-01-10 19:00:00,76.94,76.94,76.94,47.37
236,2013-01-10 20:00:00,64.58,64.58,64.58,43.7
237,2013-01-10 21:00:00,54.94,54.94,54.94,40.99
238,2013-01-10 22:00:00,50.81,47.22,50.81,39.22
239,2013-01-10 23:00:00,49.05,39.9,49.05,37.6
240,2013-01-11 00:00:00,29.66,29.66,29.66,31.99
241,2013-01-11 01:00:00,27.96,27.96,27.96,31.79
242,2013-01-11 02:00:00,24.97,24.97,24.97,31.75
243,2013-01-11 03:00:00,25.05,25.05,25.05,31.97
244,2013-01-11 04:00:00,22.42,22.42,22.42,32.51
245,2013-01-11 05:00:00,24.96,24.96,24.96,33.34
246,2013-01-11 06:00:00,29.9,29.9,29.9,34.51
247,2013-01-11 07:00:00,28.58,28.58,28.58,35.19
248,2013-01-11 08:00:00,32.95,32.95,32.95,35.63
249,2013-01-11 09:00:00,35.89,32.74,35.89,35.2
250,2013-01-11 10:00:00,35.59,32.45,35.59,35.24
251,2013-01-11 11:00:00,35.85,35.85,35.85,35.41
252,2013-01-11 12:00:00,41.05,39.31,41.05,35.88
253,2013-01-11 13:00:00,36.96,36.96,36.96,35.38
254,2013-01-11 14:00:00,35.06,35.06,35.06,35.12
255,2013-01-11 15:00:00,34.47,34.47,34.47,35.25
256,2013-01-11 16:00:00,35.94,35.94,35.94,35.81
257,2013-01-11 17:00:00,39.69,39.69,39.69,36.98
258,2013-01-11 18:00:00,41.62,41.62,41.62,37.37
259,2013-01-11 19:00:00,37.95,37.95,37.95,36.15
260,2013-01-11 20:00:00,35.33,35.33,35.33,35.05
261,2013-01-11 21:00:00,31.57,31.57,31.57,33.69
262,2013-01-11 22:00:00,34.96,34.96,34.96,34.22
263,2013-01-11 23:00:00,32.47,32.47,32.47,33.21
264,2013-01-12 00:00:00,56.36,30.69,56.36,33.09
265,2013-01-12 01:00:00,54.94,29.28,54.94,32.62
266,2013-01-12 02:00:00,49.93,28.69,49.93,32.15
267,2013-01-12 03:00:00,40.59,25.94,40.59,32.13
268,2013-01-12 04:00:00,34.46,25.01,34.46,31.9
269,2013-01-12 05:00:00,37.38,19.5,37.38,32.0
270,2013-01-12 06:00:00,44.0,12.59,44.0,32.24
271,2013-01-12 07:00:00,48.33,14.64,48.33,32.63
272,2013-01-12 08:00:00,52.98,13.51,52.98,32.85
273,2013-01-12 09:00:00,61.34,25.95,61.34,33.26
274,2013-01-12 10:00:00,63.09,29.06,63.09,33.43
275,2013-01-12 11:00:00,62.89,31.82,62.89,33.54
276,2013-01-12 12:00:00,66.59,28.07,66.59,33.58
277,2013-01-12 13:00:00,57.78,26.08,57.78,33.6
278,2013-01-12 14:00:00,55.0,26.06,55.0,33.71
279,2013-01-12 15:00:00,52.04,28.09,52.04,34.07
280,2013-01-12 16:00:00,52.44,31.23,52.44,34.73
281,2013-01-12 17:00:00,63.58,35.01,63.58,35.63
282,2013-01-12 18:00:00,66.37,36.85,66.37,36.17
283,2013-01-12 19:00:00,66.15,35.58,66.15,35.59
284,2013-01-12 20:00:00,65.96,35.32,65.96,35.32
285,2013-01-12 21:00:00,60.0,35.19,60.0,35.19
286,2013-01-12 22:00:00,62.0,34.99,62.0,34.99
287,2013-01-12 23:00:00,62.29,33.76,62.29,33.76
288,2013-01-13 00:00:00,50.0,38.69,46.053,38.76
289,2013-01-13 01:00:00,45.0,38.36,40.984,38.32
290,2013-01-13 02:00:00,44.94,37.9,37.896,37.87
291,2013-01-13 03:00:00,37.6,35.6,35.6,37.25
292,2013-01-13 04:00:00,37.43,34.44,34.439,37.17
293,2013-01-13 05:00:00,37.53,33.73,33.727,37.33
294,2013-01-13 06:00:00,37.29,32.02,32.019,37.26
295,2013-01-13 07:00:00,37.53,33.24,33.24,37.68
296,2013-01-13 08:00:00,36.77,36.77,36.77,37.81
297,2013-01-13 09:00:00,41.08,38.04,41.079,38.47
298,2013-01-13 10:00:00,49.45,39.12,46.487,39.14
299,2013-01-13 11:00:00,54.94,39.75,48.696,39.76
300,2013-01-13 12:00:00,53.96,39.55,52.526,39.56
301,2013-01-13 13:00:00,50.63,39.05,48.128,39.06
302,2013-01-13 14:00:00,48.21,38.04,44.314,38.97
303,2013-01-13 15:00:00,42.44,39.5,41.756,39.5
304,2013-01-13 16:00:00,43.39,40.39,40.386,40.39
305,2013-01-13 17:00:00,50.62,44.38,44.382,43.41
306,2013-01-13 18:00:00,79.94,48.9,51.017,46.1
307,2013-01-13 19:00:00,68.02,45.98,62.733,42.75
308,2013-01-13 20:00:00,63.19,40.63,63.194,40.52
309,2013-01-13 21:00:00,54.93,39.64,52.513,39.63
310,2013-01-13 22:00:00,53.4,39.66,53.404,39.61
311,2013-01-13 23:00:00,50.6,38.03,50.602,38.27
312,2013-01-14 00:00:00,39.91,36.0,38.052,37.69
313,2013-01-14 01:00:00,37.76,35.76,35.762,37.43
314,2013-01-14 02:00:00,46.91,33.27,33.273,37.54
315,2013-01-14 03:00:00,44.96,33.21,33.21,37.61
316,2013-01-14 04:00:00,39.76,31.06,31.059,38.23
317,2013-01-14 05:00:00,39.36,34.6,34.603,38.98
318,2013-01-14 06:00:00,44.21,44.21,44.213,41.97
319,2013-01-14 07:00:00,60.61,60.61,60.612,54.77
320,2013-01-14 08:00:00,62.08,62.08,62.077,57.92
321,2013-01-14 09:00:00,62.6,62.6,62.605,52.1
322,2013-01-14 10:00:00,63.39,63.39,63.389,49.1
323,2013-01-14 11:00:00,63.48,63.48,63.484,48.84
324,2013-01-14 12:00:00,61.71,61.71,61.71,48.78
325,2013-01-14 13:00:00,60.06,60.06,60.056,50.78
326,2013-01-14 14:00:00,57.61,57.61,57.615,52.35
327,2013-01-14 15:00:00,56.72,56.72,56.721,51.86
328,2013-01-14 16:00:00,57.89,57.89,57.893,53.2
329,2013-01-14 17:00:00,71.92,71.92,71.92,60.5
330,2013-01-14 18:00:00,73.25,73.25,73.25,50.61
331,2013-01-14 19:00:00,64.69,64.69,64.691,47.92
332,2013-01-14 20:00:00,57.07,57.07,57.072,42.8
333,2013-01-14 21:00:00,48.45,48.45,48.454,41.16
334,2013-01-14 22:00:00,49.77,41.47,49.765,40.32
335,2013-01-14 23:00:00,53.11,38.02,53.11,38.59
336,2013-01-15 00:00:00,57.57,38.74,57.569,38.69
337,2013-01-15 01:00:00,50.61,37.8,50.611,37.95
338,2013-01-15 02:00:00,46.5,36.92,46.5,37.57
339,2013-01-15 03:00:00,39.81,37.91,39.81,37.96
340,2013-01-15 04:00:00,41.0,38.32,41.003,38.42
341,2013-01-15 05:00:00,42.48,38.0,42.483,39.33
342,2013-01-15 06:00:00,49.06,49.06,49.06,42.53
343,2013-01-15 07:00:00,63.73,63.73,63.727,56.21
344,2013-01-15 08:00:00,64.4,64.4,64.4,59.22
345,2013-01-15 09:00:00,64.66,64.66,64.665,55.12
346,2013-01-15 10:00:00,64.05,64.05,64.053,54.63
347,2013-01-15 11:00:00,65.53,65.53,65.53,52.44
348,2013-01-15 12:00:00,65.07,65.07,65.07,49.01
349,2013-01-15 13:00:00,64.94,64.94,64.94,51.91
350,2013-01-15 14:00:00,65.13,65.13,65.13,52.92
351,2013-01-15 15:00:00,63.12,63.12,63.121,54.87
352,2013-01-15 16:00:00,64.49,64.49,64.491,58.01
353,2013-01-15 17:00:00,70.92,70.92,70.916,64.0
354,2013-01-15 18:00:00,72.1,72.1,72.098,55.91
355,2013-01-15 19:00:00,69.03,69.03,69.032,47.23
356,2013-01-15 20:00:00,64.19,64.19,64.194,43.12
357,2013-01-15 21:00:00,57.94,57.94,57.936,41.65
358,2013-01-15 22:00:00,64.89,45.59,64.893,40.49
359,2013-01-15 23:00:00,56.08,38.82,56.083,38.94
360,2013-01-16 00:00:00,50.01,39.0,50.008,38.99
361,2013-01-16 01:00:00,51.46,37.99,51.456,38.13
362,2013-01-16 02:00:00,48.77,37.03,48.77,37.89
363,2013-01-16 03:00:00,44.34,37.7,44.34,38.19
364,2013-01-16 04:00:00,42.75,38.01,42.751,38.7
365,2013-01-16 05:00:00,48.31,38.82,48.313,40.26
366,2013-01-16 06:00:00,57.8,51.9,57.799,44.27
367,2013-01-16 07:00:00,62.85,62.85,62.848,63.87
368,2013-01-16 08:00:00,68.2,68.2,68.2,70.0
369,2013-01-16 09:00:00,76.98,76.98,76.981,72.83
370,2013-01-16 10:00:00,74.07,74.07,74.074,60.1
371,2013-01-16 11:00:00,70.68,70.68,70.68,52.93
372,2013-01-16 12:00:00,67.74,67.74,67.74,55.59
373,2013-01-16 13:00:00,64.98,64.98,64.982,59.13
374,2013-01-16 14:00:00,60.04,60.04,60.042,57.06
375,2013-01-16 15:00:00,57.98,57.98,57.983,56.18
376,2013-01-16 16:00:00,58.92,58.92,58.919,58.92
377,2013-01-16 17:00:00,69.93,69.93,69.93,69.93
378,2013-01-16 18:00:00,80.0,61.52,80.0,60.04
379,2013-01-16 19:00:00,71.32,57.93,71.323,49.42
380,2013-01-16 20:00:00,63.11,55.63,63.111,43.11
381,2013-01-16 21:00:00,61.11,51.95,61.111,41.89
382,2013-01-16 22:00:00,57.06,41.38,57.063,40.47
383,2013-01-16 23:00:00,58.7,37.9,58.703,38.79
384,2013-01-17 00:00:00,61.2,38.46,61.197,39.41
385,2013-01-17 01:00:00,62.5,35.64,62.502,39.03
386,2013-01-17 02:00:00,56.67,34.56,56.665,38.93
387,2013-01-17 03:00:00,49.01,34.56,49.013,39.23
388,2013-01-17 04:00:00,45.03,33.99,45.031,39.65
389,2013-01-17 05:00:00,50.09,35.62,50.092,40.69
390,2013-01-17 06:00:00,54.3,43.82,54.3,43.82
391,2013-01-17 07:00:00,80.52,61.58,80.521,61.58
392,2013-01-17 08:00:00,98.1,62.42,98.1,62.42
393,2013-01-17 09:00:00,95.0,59.92,94.999,59.92
394,2013-01-17 10:00:00,76.34,58.14,76.341,58.14
395,2013-01-17 11:00:00,81.97,57.99,81.971,56.22
396,2013-01-17 12:00:00,82.54,58.52,82.536,58.78
397,2013-01-17 13:00:00,74.25,62.62,74.246,60.12
398,2013-01-17 14:00:00,71.92,61.91,71.915,62.37
399,2013-01-17 15:00:00,72.88,61.95,72.881,62.34
400,2013-01-17 16:00:00,71.87,62.3,71.868,62.3
401,2013-01-17 17:00:00,72.83,72.83,72.831,72.83
402,2013-01-17 18:00:00,180.0,86.07,180.0,86.07
403,2013-01-17 19:00:00,90.82,62.77,90.82,61.3
404,2013-01-17 20:00:00,68.93,57.97,68.926,48.66
405,2013-01-17 21:00:00,61.94,56.05,61.939,45.96
406,2013-01-17 22:00:00,63.11,43.35,63.112,42.31
407,2013-01-17 23:00:00,59.0,39.44,58.997,40.37
408,2013-01-18 00:00:00,56.7,39.76,56.7,39.76
409,2013-01-18 01:00:00,62.06,38.0,62.061,38.98
410,2013-01-18 02:00:00,61.18,36.95,61.185,38.72
411,2013-01-18 03:00:00,53.19,36.04,53.185,39.01
412,2013-01-18 04:00:00,48.5,37.42,48.495,39.21
413,2013-01-18 05:00:00,54.75,38.03,54.752,40.4
414,2013-01-18 06:00:00,61.19,47.25,61.192,44.83
415,2013-01-18 07:00:00,64.4,62.44,64.402,62.03
416,2013-01-18 08:00:00,76.13,66.56,76.127,66.97
417,2013-01-18 09:00:00,73.51,64.95,73.511,65.13
418,2013-01-18 10:00:00,69.32,62.71,69.318,60.2
419,2013-01-18 11:00:00,67.72,65.31,67.72,49.28
420,2013-01-18 12:00:00,66.12,62.07,66.119,48.09
421,2013-01-18 13:00:00,60.81,59.91,60.808,46.28
422,2013-01-18 14:00:00,61.2,55.09,61.199,46.99
423,2013-01-18 15:00:00,60.4,53.95,60.403,47.89
424,2013-01-18 16:00:00,55.92,55.92,55.916,54.6
425,2013-01-18 17:00:00,65.4,62.19,65.398,61.96
426,2013-01-18 18:00:00,77.22,56.9,77.225,51.88
427,2013-01-18 19:00:00,66.87,55.05,66.873,44.16
428,2013-01-18 20:00:00,62.32,51.93,62.32,41.97
429,2013-01-18 21:00:00,60.74,40.43,60.744,40.43
430,2013-01-18 22:00:00,63.3,39.19,63.304,39.25
431,2013-01-18 23:00:00,63.48,35.82,63.476,38.69
432,2013-01-19 00:00:00,63.27,33.79,63.273,38.16
433,2013-01-19 01:00:00,62.55,33.68,62.545,37.98
434,2013-01-19 02:00:00,54.78,32.79,54.778,37.92
435,2013-01-19 03:00:00,47.45,32.86,47.451,37.97
436,2013-01-19 04:00:00,42.24,32.41,42.243,38.0
437,2013-01-19 05:00:00,46.03,32.5,46.032,37.96
438,2013-01-19 06:00:00,48.37,31.75,48.366,38.08
439,2013-01-19 07:00:00,49.31,35.06,49.309,38.38
440,2013-01-19 08:00:00,61.19,38.05,61.191,39.03
441,2013-01-19 09:00:00,58.7,41.54,58.699,40.65
442,2013-01-19 10:00:00,61.8,42.58,61.805,41.56
443,2013-01-19 11:00:00,65.06,49.45,65.061,41.93
444,2013-01-19 12:00:00,63.12,48.9,63.117,41.6
445,2013-01-19 13:00:00,61.2,42.02,61.196,41.0
446,2013-01-19 14:00:00,59.05,40.09,59.049,40.09
447,2013-01-19 15:00:00,52.43,40.24,52.43,40.23
448,2013-01-19 16:00:00,50.26,41.68,50.265,41.7
449,2013-01-19 17:00:00,60.0,51.86,53.934,47.97
