age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
39.0,4,67433.0,9,13.0,0,4,1,4,1,0.0,0.0,45.0,39,0
38.0,4,126755.0,11,9.0,0,8,4,4,0,0.0,0.0,80.0,39,1
65.0,6,99359.0,14,15.0,0,13,1,4,1,0.0,0.0,40.0,39,1
31.0,4,393357.0,11,9.0,4,10,3,4,0,0.0,0.0,48.0,39,1
34.0,2,220066.0,12,14.0,4,10,1,4,0,0.0,0.0,50.0,39,1
31.0,4,87560.0,15,10.0,2,1,5,4,0,0.0,0.0,40.0,39,0
38.0,4,168055.0,11,9.0,4,1,1,2,0,0.0,0.0,32.0,39,1
54.0,4,172962.0,9,13.0,2,12,0,4,1,0.0,0.0,30.0,39,1
46.0,4,202560.0,11,9.0,0,12,1,4,0,0.0,0.0,40.0,39,1
37.0,6,29814.0,11,9.0,4,5,3,4,1,0.0,0.0,85.0,39,1
37.0,4,38948.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,39,1
23.0,4,122272.0,15,10.0,4,12,3,4,0,0.0,0.0,20.0,39,1
36.0,4,128757.0,0,6.0,2,14,0,4,1,0.0,0.0,80.0,39,1
27.0,4,203776.0,12,14.0,4,10,1,4,0,0.0,0.0,40.0,39,1
47.0,6,235646.0,11,9.0,2,4,0,4,1,0.0,0.0,45.0,39,0
58.0,4,205410.0,9,13.0,2,10,0,4,1,0.0,0.0,40.0,39,0
23.0,4,33644.0,9,13.0,4,12,1,4,1,0.0,0.0,50.0,39,1
30.0,4,100734.0,15,10.0,2,4,0,4,1,0.0,0.0,40.0,39,0
47.0,4,182177.0,0,6.0,2,8,0,2,1,0.0,0.0,45.0,39,1
69.0,6,165814.0,14,15.0,2,10,0,4,1,0.0,0.0,40.0,39,0
27.0,0,157624.0,15,10.0,2,0,5,4,0,0.0,0.0,40.0,39,0
40.0,7,269733.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,39,1
25.0,4,167835.0,11,9.0,4,7,2,4,1,0.0,0.0,48.0,39,1
21.0,4,185551.0,11,9.0,4,12,3,4,0,0.0,0.0,40.0,39,1
61.0,4,180418.0,11,9.0,2,14,0,4,1,0.0,0.0,40.0,39,1
38.0,4,436361.0,12,14.0,2,4,0,4,1,15024.0,0.0,40.0,39,0
18.0,6,379242.0,0,6.0,4,1,2,1,0,0.0,0.0,40.0,39,0
36.0,4,186212.0,11,9.0,2,7,0,4,1,0.0,0.0,40.0,39,0
23.0,4,419554.0,1,7.0,4,6,3,4,1,0.0,0.0,30.0,39,1
31.0,4,226443.0,15,10.0,4,1,1,4,0,0.0,0.0,55.0,39,1
43.0,2,247514.0,15,10.0,0,14,1,4,1,8614.0,0.0,60.0,39,0
55.0,4,226875.0,9,13.0,2,4,0,4,1,0.0,0.0,48.0,39,0
46.0,7,106705.0,9,13.0,2,3,0,4,1,0.0,0.0,40.0,39,0
31.0,4,36069.0,11,9.0,2,12,0,4,1,0.0,0.0,50.0,39,1
35.0,4,215323.0,9,13.0,4,4,1,4,1,0.0,0.0,45.0,39,1
23.0,4,288771.0,9,13.0,4,13,1,4,0,0.0,0.0,20.0,39,1
58.0,6,290670.0,9,13.0,2,4,0,4,1,4386.0,0.0,10.0,39,0
34.0,4,132565.0,2,8.0,4,8,4,2,0,0.0,0.0,50.0,39,1
43.0,7,107439.0,10,16.0,2,10,0,4,1,0.0,0.0,50.0,39,0
24.0,4,188505.0,12,14.0,4,10,3,4,0,0.0,0.0,60.0,0,1
38.0,4,111499.0,11,9.0,2,1,5,4,0,0.0,0.0,40.0,39,1
69.0,4,197080.0,2,8.0,2,7,0,2,1,0.0,0.0,55.0,11,0
21.0,4,410439.0,15,10.0,4,12,3,4,1,0.0,0.0,24.0,39,1
28.0,4,203171.0,15,10.0,0,1,4,4,0,0.0,0.0,40.0,39,1
39.0,4,80638.0,15,10.0,0,3,4,4,0,0.0,0.0,48.0,9,1
32.0,1,145983.0,9,13.0,2,1,0,4,1,0.0,0.0,40.0,39,1
35.0,4,162256.0,11,9.0,2,7,0,4,1,0.0,0.0,60.0,39,1
29.0,4,83742.0,11,9.0,4,12,3,4,1,0.0,0.0,40.0,39,1
27.0,4,175387.0,11,9.0,4,6,3,4,1,0.0,0.0,40.0,39,1
53.0,6,46704.0,12,14.0,0,12,1,4,1,0.0,1876.0,39.0,39,1
52.0,6,183146.0,15,10.0,2,5,0,4,1,0.0,0.0,60.0,39,1
17.0,4,130806.0,0,6.0,4,12,3,4,0,0.0,0.0,12.0,39,1
19.0,4,400356.0,0,6.0,4,12,4,0,0,0.0,0.0,40.0,39,1
44.0,4,32000.0,15,10.0,2,4,0,4,1,0.0,0.0,45.0,39,0
30.0,4,175690.0,0,6.0,4,8,3,4,1,0.0,0.0,40.0,39,1
53.0,4,209022.0,9,13.0,2,1,0,4,1,0.0,1887.0,44.0,39,0
61.0,4,85434.0,11,9.0,5,10,1,4,0,0.0,0.0,40.0,39,0
34.0,4,176862.0,11,9.0,0,14,1,4,1,0.0,0.0,45.0,39,1
27.0,4,108574.0,1,7.0,2,3,0,4,1,0.0,1902.0,40.0,39,0
54.0,6,236157.0,15,10.0,2,5,0,4,1,0.0,0.0,99.0,39,1
54.0,1,332243.0,9,13.0,2,10,0,4,1,0.0,0.0,40.0,39,0
41.0,4,475322.0,15,10.0,2,12,0,4,1,0.0,0.0,50.0,39,1
23.0,4,117583.0,11,9.0,4,1,3,1,1,0.0,0.0,24.0,30,1
41.0,4,202168.0,15,10.0,2,3,0,4,1,0.0,0.0,40.0,39,1
41.0,4,253189.0,11,9.0,2,7,0,4,1,7688.0,0.0,48.0,39,0
29.0,4,204516.0,9,13.0,2,10,0,4,1,0.0,0.0,50.0,39,0
20.0,4,117789.0,15,10.0,4,12,3,4,0,0.0,0.0,15.0,39,1
28.0,4,132686.0,11,9.0,0,8,4,2,0,0.0,0.0,40.0,39,1
36.0,2,217414.0,15,10.0,2,8,0,0,1,0.0,1887.0,40.0,39,0
23.0,4,43150.0,11,9.0,4,1,4,4,0,0.0,0.0,40.0,39,1
44.0,4,67065.0,8,11.0,0,10,4,4,0,3887.0,0.0,25.0,39,0
46.0,4,101320.0,11,9.0,4,7,1,4,0,0.0,0.0,15.0,39,1
52.0,4,155434.0,3,2.0,3,5,4,4,1,0.0,0.0,48.0,39,0
45.0,4,192776.0,9,13.0,2,4,0,4,1,0.0,0.0,45.0,9,0
59.0,4,532969.0,6,5.0,2,7,2,4,1,2907.0,0.0,32.0,39,1
43.0,4,318415.0,15,10.0,0,3,3,2,1,0.0,0.0,58.0,39,1
30.0,4,151001.0,15,10.0,0,7,1,4,1,0.0,1617.0,50.0,39,1
27.0,4,221366.0,9,13.0,4,4,1,4,0,0.0,0.0,35.0,39,1
51.0,1,73670.0,15,10.0,2,4,0,4,1,0.0,0.0,40.0,39,0
57.0,4,137653.0,15,10.0,4,3,1,2,1,0.0,0.0,40.0,39,1
36.0,0,187203.0,8,11.0,2,0,5,4,0,0.0,0.0,10.0,20,1
26.0,4,331861.0,15,10.0,4,3,3,4,1,0.0,0.0,40.0,39,1
22.0,4,191878.0,0,6.0,4,8,1,4,0,0.0,0.0,25.0,39,1
56.0,5,187355.0,11,9.0,2,4,0,4,1,0.0,0.0,40.0,39,1
62.0,2,41793.0,5,4.0,2,3,0,4,1,0.0,0.0,40.0,39,1
22.0,0,303579.0,9,13.0,4,0,1,4,0,0.0,0.0,23.0,39,1
48.0,4,143098.0,15,10.0,0,7,4,4,1,15020.0,0.0,48.0,39,0
32.0,6,62272.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,39,1
49.0,4,50748.0,15,10.0,0,1,1,2,1,0.0,0.0,40.0,39,1
29.0,2,280344.0,15,10.0,2,14,0,4,1,0.0,0.0,40.0,39,1
47.0,6,182752.0,11,9.0,2,7,0,4,1,0.0,0.0,40.0,39,1
26.0,4,127202.0,15,10.0,4,12,2,2,1,0.0,0.0,50.0,39,1
38.0,5,206951.0,11,9.0,0,4,1,1,1,0.0,0.0,99.0,37,1
37.0,6,31095.0,11,9.0,0,5,4,4,1,0.0,0.0,60.0,39,1
36.0,4,209993.0,3,2.0,4,8,4,4,0,0.0,0.0,40.0,26,1
27.0,4,29807.0,9,13.0,4,13,1,4,0,0.0,0.0,40.0,39,1
35.0,2,195516.0,11,9.0,4,12,3,4,1,0.0,0.0,38.0,39,1
28.0,4,190525.0,9,13.0,2,4,0,4,1,0.0,0.0,40.0,39,0
55.0,2,104917.0,12,14.0,3,10,4,4,1,0.0,0.0,40.0,39,1
19.0,2,223326.0,11,9.0,0,11,1,4,1,0.0,0.0,40.0,39,1
35.0,4,174077.0,15,10.0,0,4,1,4,0,0.0,0.0,40.0,39,1
33.0,4,213813.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,39,1
18.0,4,329054.0,11,9.0,4,8,3,4,1,0.0,0.0,20.0,39,1
25.0,4,312157.0,14,15.0,4,10,1,4,0,0.0,0.0,25.0,39,1
31.0,4,247328.0,9,13.0,2,4,0,4,1,0.0,0.0,50.0,41,0
22.0,4,305466.0,15,10.0,4,3,3,2,0,0.0,1594.0,35.0,39,1
44.0,4,127482.0,15,10.0,2,8,0,4,1,0.0,0.0,40.0,39,1
17.0,4,293440.0,0,6.0,4,12,3,2,0,0.0,0.0,15.0,39,1
40.0,7,67874.0,9,13.0,0,10,1,4,1,0.0,0.0,40.0,39,1
23.0,4,293091.0,11,9.0,4,1,3,2,0,0.0,0.0,40.0,39,1
30.0,6,113364.0,8,11.0,2,12,0,4,1,3137.0,0.0,60.0,39,1
33.0,7,306309.0,12,14.0,2,10,0,4,1,0.0,0.0,50.0,39,1
22.0,7,160369.0,15,10.0,4,8,1,0,1,0.0,0.0,55.0,39,1
20.0,1,347935.0,1,7.0,4,4,1,4,1,0.0,0.0,32.0,39,1
45.0,2,324550.0,12,14.0,0,10,4,4,0,0.0,0.0,45.0,39,1
77.0,4,253642.0,0,6.0,6,8,1,2,0,0.0,0.0,60.0,39,1
46.0,7,107682.0,8,11.0,2,13,0,4,1,0.0,0.0,45.0,39,0
34.0,4,142897.0,11,9.0,4,7,3,4,0,0.0,0.0,20.0,39,1
58.0,4,105363.0,11,9.0,2,14,0,4,1,0.0,0.0,40.0,39,0
39.0,4,293291.0,11,9.0,4,1,4,2,0,0.0,0.0,40.0,39,1
50.0,2,320386.0,15,10.0,2,10,5,4,0,0.0,0.0,40.0,39,1
23.0,4,82497.0,6,5.0,4,14,3,1,1,0.0,0.0,40.0,30,1
25.0,4,254781.0,11,9.0,4,3,3,4,1,0.0,0.0,40.0,5,1
35.0,4,330664.0,11,9.0,0,14,1,4,1,0.0,0.0,60.0,39,1
34.0,4,187203.0,9,13.0,2,4,0,4,1,0.0,0.0,50.0,39,0
51.0,5,231230.0,12,14.0,2,4,0,4,1,15024.0,0.0,60.0,39,0
36.0,4,411797.0,5,4.0,4,5,3,4,1,0.0,0.0,40.0,26,1
44.0,4,379919.0,8,11.0,2,3,0,4,1,0.0,0.0,40.0,39,1
62.0,0,73091.0,11,9.0,2,0,0,4,1,0.0,0.0,40.0,39,0
25.0,6,46015.0,11,9.0,4,3,3,4,1,0.0,0.0,36.0,39,1
52.0,5,114758.0,9,13.0,2,12,0,4,1,0.0,0.0,60.0,39,0
45.0,4,155093.0,0,6.0,2,7,0,4,1,0.0,0.0,40.0,39,0
44.0,2,387770.0,11,9.0,5,1,4,2,0,0.0,0.0,40.0,39,1
35.0,4,268620.0,11,9.0,5,8,1,4,0,0.0,0.0,25.0,39,1
43.0,4,316820.0,9,13.0,2,12,0,4,1,0.0,0.0,60.0,39,0
33.0,4,60567.0,8,11.0,0,4,1,4,1,0.0,0.0,50.0,39,0
42.0,4,179557.0,15,10.0,0,13,1,4,1,0.0,0.0,40.0,39,1
23.0,4,158940.0,11,9.0,4,6,3,2,1,0.0,0.0,40.0,39,1
42.0,4,152568.0,9,13.0,2,7,0,2,1,0.0,0.0,40.0,39,1
30.0,4,39150.0,15,10.0,4,13,4,4,0,0.0,0.0,40.0,39,1
69.0,7,208869.0,12,14.0,2,4,0,4,1,0.0,0.0,20.0,39,1
36.0,4,409189.0,9,13.0,0,10,1,4,1,0.0,0.0,40.0,39,1
59.0,6,128105.0,12,14.0,2,12,0,4,1,0.0,0.0,50.0,39,0
44.0,6,27242.0,11,9.0,2,12,5,4,0,0.0,0.0,50.0,39,0
33.0,4,122749.0,11,9.0,3,8,4,4,0,0.0,0.0,65.0,39,1
45.0,4,223999.0,15,10.0,2,12,0,4,1,0.0,0.0,65.0,39,0
25.0,4,191921.0,11,9.0,4,1,1,4,0,0.0,0.0,48.0,39,1
53.0,4,55861.0,15,10.0,2,4,0,4,1,0.0,0.0,45.0,39,0
28.0,7,319027.0,9,13.0,4,1,1,4,0,4101.0,0.0,50.0,39,0
33.0,4,232356.0,1,7.0,2,3,0,4,1,0.0,0.0,40.0,26,1
40.0,4,300838.0,5,4.0,2,8,5,4,0,0.0,0.0,40.0,39,1
27.0,4,168827.0,11,9.0,4,14,3,4,1,0.0,0.0,40.0,39,1
68.0,0,117542.0,7,12.0,6,0,1,4,0,0.0,0.0,6.0,39,1
49.0,4,194962.0,1,7.0,4,8,1,4,1,0.0,0.0,60.0,39,1
36.0,4,398931.0,9,13.0,2,10,0,4,1,0.0,0.0,55.0,39,0
52.0,6,98642.0,15,10.0,2,12,0,4,1,0.0,0.0,40.0,39,0
37.0,5,183898.0,7,12.0,2,12,0,4,1,0.0,0.0,40.0,39,0
38.0,6,175732.0,11,9.0,2,3,0,4,1,4386.0,0.0,35.0,39,1
22.0,4,184756.0,11,9.0,4,10,3,4,0,0.0,0.0,21.0,39,1
75.0,6,242108.0,15,10.0,3,3,2,4,1,0.0,0.0,30.0,39,1
26.0,4,544319.0,0,6.0,4,5,2,4,1,4101.0,0.0,35.0,39,1
19.0,4,106183.0,15,10.0,4,1,1,4,0,0.0,0.0,40.0,39,1
37.0,4,328301.0,15,10.0,2,12,0,4,1,0.0,0.0,40.0,39,1
41.0,4,112507.0,11,9.0,0,6,4,4,1,0.0,0.0,40.0,39,1
26.0,4,158734.0,9,13.0,4,10,3,4,1,13550.0,0.0,40.0,0,0
26.0,4,112754.0,8,11.0,4,13,3,4,0,0.0,0.0,36.0,39,1
27.0,2,221317.0,11,9.0,2,6,2,4,1,0.0,0.0,50.0,39,0
61.0,4,167840.0,11,9.0,2,6,0,4,1,0.0,0.0,40.0,39,1
29.0,4,108775.0,11,9.0,2,14,0,4,1,0.0,0.0,45.0,39,1
41.0,1,207685.0,9,13.0,2,4,0,2,1,0.0,1485.0,40.0,39,1
31.0,4,340917.0,11,9.0,2,14,0,4,1,0.0,0.0,50.0,39,1
24.0,0,234791.0,15,10.0,0,0,4,4,0,0.0,0.0,25.0,39,1
26.0,4,159732.0,15,10.0,4,8,1,4,0,0.0,0.0,35.0,39,1
38.0,4,242080.0,15,10.0,2,12,5,4,0,4386.0,0.0,40.0,39,0
37.0,4,328466.0,6,5.0,2,8,5,1,0,0.0,0.0,34.0,39,1
32.0,4,147118.0,12,14.0,2,4,0,4,1,15024.0,0.0,60.0,39,0
61.0,1,28291.0,12,14.0,0,4,1,4,0,0.0,0.0,82.0,39,1
50.0,4,88926.0,9,13.0,2,14,0,4,1,7298.0,0.0,70.0,39,0
60.0,4,23063.0,11,9.0,2,14,0,4,1,0.0,0.0,40.0,39,0
58.0,4,220789.0,9,13.0,0,4,4,4,1,0.0,0.0,22.0,39,1
20.0,4,64292.0,15,10.0,4,12,1,4,0,0.0,0.0,50.0,39,1
22.0,4,495288.0,11,9.0,4,1,1,4,1,0.0,0.0,40.0,39,1
76.0,4,199949.0,9,13.0,2,4,0,4,1,0.0,0.0,40.0,39,0
29.0,4,202878.0,5,4.0,2,10,0,4,1,0.0,0.0,60.0,39,1
33.0,4,220860.0,11,9.0,0,3,3,4,0,0.0,0.0,38.0,39,1
50.0,4,115284.0,0,6.0,2,12,0,4,1,0.0,0.0,40.0,39,1
20.0,4,285295.0,11,9.0,4,12,1,4,1,0.0,0.0,48.0,39,1
35.0,4,301862.0,15,10.0,2,3,0,1,1,0.0,0.0,40.0,39,0
24.0,4,240137.0,3,2.0,4,8,2,4,0,0.0,0.0,40.0,13,1
35.0,4,239755.0,9,13.0,0,8,1,2,0,0.0,0.0,40.0,0,0
38.0,2,230054.0,15,10.0,2,5,0,4,1,0.0,0.0,40.0,39,1
19.0,4,150553.0,11,9.0,4,8,3,2,1,0.0,0.0,35.0,39,1
21.0,4,83033.0,15,10.0,4,8,3,4,0,0.0,0.0,37.0,39,1
56.0,4,87584.0,15,10.0,2,12,0,4,1,0.0,0.0,50.0,0,1
39.0,4,481060.0,11,9.0,5,6,1,4,1,0.0,0.0,40.0,26,1
19.0,0,351195.0,15,10.0,4,0,3,4,1,0.0,0.0,40.0,39,1
70.0,4,264098.0,15,10.0,2,1,2,4,0,0.0,0.0,6.0,39,0
39.0,4,160728.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,39,1
47.0,4,188330.0,11,9.0,2,4,0,4,1,0.0,0.0,55.0,39,0
43.0,4,184018.0,7,12.0,2,14,0,4,1,0.0,0.0,55.0,39,0
39.0,6,126894.0,15,10.0,4,3,3,4,1,0.0,0.0,48.0,39,1
57.0,4,77927.0,15,10.0,6,4,1,4,0,0.0,1980.0,25.0,39,1
57.0,4,231232.0,11,9.0,2,7,0,2,1,0.0,0.0,40.0,39,0
35.0,4,407913.0,11,9.0,2,1,2,4,0,0.0,0.0,32.0,39,1
37.0,4,109996.0,8,11.0,2,3,0,4,1,0.0,0.0,40.0,39,1
38.0,2,274245.0,7,12.0,2,3,0,4,1,0.0,0.0,40.0,39,0
66.0,0,182378.0,6,5.0,2,0,5,4,0,0.0,0.0,40.0,22,1
23.0,4,197613.0,15,10.0,4,1,3,4,1,0.0,0.0,35.0,39,1
24.0,4,192201.0,15,10.0,4,7,3,4,1,0.0,0.0,40.0,39,1
20.0,4,91819.0,15,10.0,4,12,3,4,0,0.0,0.0,28.0,39,1
17.0,0,27251.0,0,6.0,4,0,3,4,1,0.0,0.0,40.0,39,1
19.0,4,289227.0,15,10.0,4,6,3,4,1,0.0,0.0,27.0,39,1
22.0,4,146352.0,1,7.0,4,3,1,4,1,0.0,0.0,40.0,0,1
19.0,4,86150.0,1,7.0,4,8,3,4,0,0.0,0.0,40.0,39,1
35.0,4,386726.0,9,13.0,2,1,1,4,0,0.0,0.0,39.0,39,1
31.0,4,141288.0,15,10.0,4,1,1,4,0,0.0,0.0,40.0,39,1
17.0,4,202344.0,0,6.0,4,13,3,4,1,0.0,0.0,12.0,39,1
36.0,2,403681.0,15,10.0,4,1,4,2,0,0.0,0.0,18.0,39,1
31.0,7,301526.0,15,10.0,4,10,1,4,1,0.0,0.0,38.0,39,1
47.0,7,72333.0,10,16.0,2,10,5,4,0,99999.0,0.0,40.0,39,0
23.0,4,218782.0,0,6.0,4,7,4,4,1,0.0,0.0,50.0,39,1
50.0,2,124963.0,14,15.0,2,10,0,4,1,0.0,0.0,40.0,39,1
58.0,4,215190.0,1,7.0,2,14,0,4,1,0.0,0.0,40.0,39,1
25.0,4,201413.0,9,13.0,4,4,1,4,0,3325.0,0.0,40.0,39,1
28.0,4,314177.0,15,10.0,4,10,1,4,1,0.0,0.0,40.0,39,1
68.0,4,67791.0,12,14.0,2,10,0,4,1,0.0,0.0,45.0,39,0
25.0,4,95691.0,1,7.0,0,4,4,4,0,0.0,0.0,40.0,39,1
31.0,4,229732.0,15,10.0,2,1,0,4,1,0.0,0.0,55.0,39,0
59.0,0,154236.0,11,9.0,6,0,1,4,0,0.0,0.0,40.0,39,1
47.0,2,204698.0,12,14.0,2,10,5,4,0,0.0,0.0,50.0,39,0
46.0,4,72619.0,11,9.0,2,1,0,4,1,0.0,0.0,40.0,39,0
37.0,4,98941.0,12,14.0,4,10,1,4,0,0.0,0.0,40.0,39,1
33.0,6,48189.0,11,9.0,5,3,1,4,1,0.0,0.0,35.0,39,1
23.0,0,27415.0,7,12.0,2,0,0,4,1,0.0,0.0,6.0,39,1
35.0,5,237713.0,14,15.0,2,10,0,4,1,0.0,0.0,50.0,39,0
47.0,4,181342.0,15,10.0,2,12,0,4,1,0.0,0.0,50.0,39,0
39.0,6,189092.0,11,9.0,2,5,0,4,1,0.0,0.0,40.0,39,1
20.0,4,308239.0,15,10.0,4,4,3,4,0,0.0,0.0,30.0,39,1
63.0,4,318763.0,9,13.0,2,11,0,4,1,0.0,1902.0,40.0,39,0
34.0,1,194740.0,9,13.0,2,11,0,4,1,0.0,0.0,60.0,39,0
22.0,0,201179.0,15,10.0,4,0,3,4,1,0.0,0.0,25.0,39,1
56.0,6,60166.0,9,13.0,2,4,5,4,0,0.0,0.0,50.0,39,0
37.0,6,180150.0,11,9.0,0,3,1,4,1,0.0,0.0,50.0,39,1
35.0,4,207819.0,9,13.0,2,4,0,4,1,15024.0,0.0,65.0,39,0
53.0,4,117814.0,11,9.0,2,11,0,4,1,0.0,0.0,40.0,39,1
21.0,4,199915.0,11,9.0,4,6,3,4,1,0.0,0.0,20.0,39,1
21.0,4,129232.0,15,10.0,4,1,3,4,1,0.0,0.0,40.0,39,1
48.0,4,195491.0,5,4.0,0,8,1,3,0,0.0,0.0,35.0,39,1
43.0,6,174090.0,11,9.0,6,8,4,4,0,0.0,0.0,25.0,39,1
29.0,4,145490.0,11,9.0,4,3,3,4,1,0.0,0.0,40.0,39,1
46.0,4,102359.0,15,10.0,2,14,0,4,1,0.0,1887.0,40.0,39,0
51.0,2,169182.0,9,13.0,2,1,0,4,1,0.0,0.0,40.0,39,0
68.0,0,40956.0,11,9.0,2,0,5,4,0,5178.0,0.0,8.0,39,1
22.0,4,141698.0,15,10.0,4,11,1,4,1,0.0,0.0,20.0,39,1
42.0,4,193494.0,11,9.0,5,8,1,4,1,0.0,0.0,40.0,39,1
61.0,6,32423.0,11,9.0,2,5,0,4,1,0.0,0.0,40.0,39,0
33.0,4,202450.0,15,10.0,2,1,5,4,0,5178.0,2057.0,40.0,39,0
41.0,4,181020.0,12,14.0,4,10,1,4,0,0.0,0.0,40.0,39,1
66.0,6,37170.0,11,9.0,2,1,0,4,1,0.0,0.0,40.0,39,0
27.0,4,159724.0,11,9.0,2,3,0,4,1,0.0,0.0,53.0,39,0
25.0,4,324854.0,9,13.0,2,12,0,4,1,0.0,0.0,50.0,39,1
23.0,7,82067.0,9,13.0,4,10,1,4,0,0.0,0.0,40.0,39,1
40.0,4,220589.0,15,10.0,2,12,5,4,0,7298.0,0.0,45.0,39,0
26.0,4,358975.0,15,10.0,4,9,1,4,0,0.0,0.0,25.0,13,1
30.0,4,553405.0,11,9.0,2,5,0,4,1,0.0,0.0,40.0,39,0
29.0,4,269354.0,11,9.0,2,12,0,4,1,0.0,0.0,40.0,39,1
30.0,4,110622.0,12,14.0,2,10,0,4,1,0.0,1902.0,43.0,0,0
44.0,4,103759.0,7,12.0,0,3,1,4,1,0.0,0.0,40.0,39,1
22.0,4,217363.0,5,4.0,2,3,0,4,1,0.0,0.0,35.0,39,1
29.0,4,87523.0,1,7.0,4,12,1,4,0,8614.0,0.0,40.0,39,0
51.0,4,143741.0,15,10.0,2,14,0,4,1,0.0,0.0,40.0,39,1
20.0,4,39477.0,15,10.0,4,7,1,0,1,0.0,0.0,55.0,39,1
45.0,4,233511.0,9,13.0,2,4,0,4,1,0.0,0.0,50.0,39,0
41.0,4,444743.0,11,9.0,0,7,1,2,0,0.0,0.0,40.0,39,1
18.0,4,92112.0,11,9.0,4,8,3,4,0,0.0,0.0,30.0,39,1
63.0,4,130968.0,15,10.0,0,8,1,4,1,0.0,0.0,40.0,39,1
28.0,4,292536.0,15,10.0,4,1,3,2,0,0.0,1602.0,40.0,39,1
28.0,4,165030.0,11,9.0,2,8,0,2,1,0.0,0.0,50.0,39,0
38.0,4,210866.0,11,9.0,4,8,3,4,1,0.0,0.0,20.0,39,1
28.0,7,155397.0,9,13.0,4,13,1,2,1,0.0,0.0,40.0,39,1
25.0,4,195118.0,3,2.0,4,5,3,4,1,0.0,0.0,21.0,39,1
44.0,4,442035.0,3,2.0,2,5,0,4,1,0.0,0.0,40.0,26,1
28.0,4,79702.0,15,10.0,5,1,4,4,0,0.0,0.0,20.0,39,1
45.0,4,168262.0,11,9.0,0,12,3,4,1,0.0,1876.0,40.0,39,1
38.0,4,175120.0,0,6.0,4,3,4,4,0,0.0,0.0,56.0,39,1
22.0,4,173004.0,15,10.0,4,6,1,4,1,0.0,0.0,40.0,39,1
66.0,4,269665.0,11,9.0,2,8,0,1,1,0.0,0.0,40.0,35,0
41.0,4,135056.0,12,14.0,2,4,0,4,1,0.0,0.0,40.0,39,0
42.0,2,109684.0,12,14.0,4,10,1,4,0,0.0,2258.0,60.0,39,1
54.0,4,32454.0,11,9.0,2,7,0,4,1,0.0,0.0,45.0,39,1
39.0,4,182828.0,12,14.0,4,4,1,4,1,0.0,0.0,40.0,39,1
41.0,4,132222.0,11,9.0,2,3,0,2,1,0.0,1848.0,40.0,39,0
31.0,4,174201.0,11,9.0,2,14,0,4,1,0.0,0.0,50.0,39,0
21.0,4,27049.0,8,11.0,4,10,1,4,1,0.0,0.0,25.0,39,1
39.0,4,348960.0,11,9.0,4,8,4,4,0,0.0,0.0,40.0,39,1
29.0,4,568490.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,39,0
69.0,6,349022.0,11,9.0,2,13,0,4,1,0.0,0.0,33.0,39,1
